Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,RPTR1,147.030000,+,0.032500,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
1,RPTR2,146.910000,-,0.600000,Tone,97.4,88.5,023,NN,FM,5.00,,,,,,
2,RPTR3,442.075000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
3,LCKNOW,147.195000,,0.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
4,MITCHL,147.285000,,0.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
5,2M UNI,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,70CUNI,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,MOH,149.440000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,ONTAMB,413.885000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,YGDPOL,413.537500,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,AMBUL,151.505000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,FIRE,154.265000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,GDFIRE,154.175000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,UTILIT,169.140000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,BLUWAT,143.235000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,BLUWAT,411.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,BLUWAT,411.887500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,MOH,149.440000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
38,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
42,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
43,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
44,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
46,GMRS2,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
47,GMRS3,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
48,GMRS4,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
49,GMRS5,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
50,GMRS6,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
51,GMRS7,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
52,GMRS8,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
53,PREPPR,151.820000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
99,NOAA,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
